"modularity","algorithm","network"
0.649326101249178,"leiden","edit-htwikisource.graphml"
0.606303418803419,"walktrap","edit-htwikisource.graphml"
0.634533201840894,"infomap","edit-htwikisource.graphml"
0.643244575936884,"fast_greedy","edit-htwikisource.graphml"
0.622005412810318,"louvain","edit-kjwiki.graphml"
0.621687994921314,"leiden","edit-kjwiki.graphml"
0.599786160580039,"walktrap","edit-kjwiki.graphml"
0.60349493801998,"infomap","edit-kjwiki.graphml"
0.608790804904942,"fast_greedy","edit-kjwiki.graphml"
0.736105103806228,"louvain","edit-kkwikiquote.graphml"
0.736753892733564,"leiden","edit-kkwikiquote.graphml"
0.705098399653979,"walktrap","edit-kkwikiquote.graphml"
0.716398140138408,"infomap","edit-kkwikiquote.graphml"
0.736862024221453,"fast_greedy","edit-kkwikiquote.graphml"
0.757443057000809,"louvain","edit-knwikibooks.graphml"
0.761171811770147,"leiden","edit-knwikibooks.graphml"
0.724939299340964,"walktrap","edit-knwikibooks.graphml"
0.746300150306394,"infomap","edit-knwikibooks.graphml"
0.757226268932825,"fast_greedy","edit-knwikibooks.graphml"
0.625,"louvain","edit-krwikiquote.graphml"
0.625,"leiden","edit-krwikiquote.graphml"
0.533888888888889,"walktrap","edit-krwikiquote.graphml"
0.619444444444444,"infomap","edit-krwikiquote.graphml"
0.625,"fast_greedy","edit-krwikiquote.graphml"
0.664465089272754,"louvain","edit-kswikibooks.graphml"
0.664755407170852,"leiden","edit-kswikibooks.graphml"
0.619901291914646,"walktrap","edit-kswikibooks.graphml"
0.641167077950356,"infomap","edit-kswikibooks.graphml"
0.664465089272754,"fast_greedy","edit-kswikibooks.graphml"
0.678446654125235,"louvain","edit-kswikiquote.graphml"
0.680462241332975,"leiden","edit-kswikiquote.graphml"
0.640687987100242,"walktrap","edit-kswikiquote.graphml"
0.664740661112604,"infomap","edit-kswikiquote.graphml"
0.683955925826391,"fast_greedy","edit-kswikiquote.graphml"
0.710874726077429,"louvain","edit-lbwikibooks.graphml"
0.714755295836377,"leiden","edit-lbwikibooks.graphml"
0.684235756026297,"walktrap","edit-lbwikibooks.graphml"
0.692407779401023,"infomap","edit-lbwikibooks.graphml"
0.703570124178232,"fast_greedy","edit-lbwikibooks.graphml"
0.632308264616529,"louvain","edit-lnwikibooks.graphml"
0.633176266352533,"leiden","edit-lnwikibooks.graphml"
0.558559117118234,"walktrap","edit-lnwikibooks.graphml"
0.606702213404427,"infomap","edit-lnwikibooks.graphml"
0.633176266352533,"fast_greedy","edit-lnwikibooks.graphml"
0.632768990866563,"louvain","edit-mhwiktionary.graphml"
0.640788594341724,"leiden","edit-mhwiktionary.graphml"
0.586544887502785,"walktrap","edit-mhwiktionary.graphml"
0.629427489418579,"infomap","edit-mhwiktionary.graphml"
0.640899977723324,"fast_greedy","edit-mhwiktionary.graphml"
0.576361694553222,"louvain","edit-miwikibooks.graphml"
0.578987184051264,"leiden","edit-miwikibooks.graphml"
0.546680313278747,"walktrap","edit-miwikibooks.graphml"
0.54249733001068,"infomap","edit-miwikibooks.graphml"
0.566794232823069,"fast_greedy","edit-miwikibooks.graphml"
0.662501601947969,"louvain","edit-muswiki.graphml"
0.662501601947969,"leiden","edit-muswiki.graphml"
0.615489768892306,"walktrap","edit-muswiki.graphml"
0.646717074629416,"infomap","edit-muswiki.graphml"
0.636421889017045,"fast_greedy","edit-muswiki.graphml"
0.704840454299621,"louvain","edit-mywikibooks.graphml"
0.704840454299621,"leiden","edit-mywikibooks.graphml"
0.648864250946457,"walktrap","edit-mywikibooks.graphml"
0.691928069226609,"infomap","edit-mywikibooks.graphml"
0.703758788534343,"fast_greedy","edit-mywikibooks.graphml"
0.712426437301947,"louvain","edit-nahwikibooks.graphml"
0.712426437301947,"leiden","edit-nahwikibooks.graphml"
0.650633770937076,"walktrap","edit-nahwikibooks.graphml"
0.680907650520598,"infomap","edit-nahwikibooks.graphml"
0.708804889090086,"fast_greedy","edit-nahwikibooks.graphml"
0.720593278463649,"louvain","edit-ndswikibooks.graphml"
0.725801611796982,"leiden","edit-ndswikibooks.graphml"
0.674243398491084,"walktrap","edit-ndswikibooks.graphml"
0.698774005486968,"infomap","edit-ndswikibooks.graphml"
0.725287208504801,"fast_greedy","edit-ndswikibooks.graphml"
0.75139146567718,"louvain","edit-pswikibooks.graphml"
0.751454714117052,"leiden","edit-pswikibooks.graphml"
0.700792713779727,"walktrap","edit-pswikibooks.graphml"
0.714095968966099,"infomap","edit-pswikibooks.graphml"
0.749641592174059,"fast_greedy","edit-pswikibooks.graphml"
0.666038781163435,"louvain","edit-quwikibooks.graphml"
0.670747922437673,"leiden","edit-quwikibooks.graphml"
0.648365650969529,"walktrap","edit-quwikibooks.graphml"
0.652520775623269,"infomap","edit-quwikibooks.graphml"
0.670747922437673,"fast_greedy","edit-quwikibooks.graphml"
0.67436134195137,"louvain","edit-rmwikibooks.graphml"
0.66605109264389,"leiden","edit-rmwikibooks.graphml"
0.649892274546014,"walktrap","edit-rmwikibooks.graphml"
0.650200061557402,"infomap","edit-rmwikibooks.graphml"
0.67020621729763,"fast_greedy","edit-rmwikibooks.graphml"
0.581731779038017,"louvain","edit-rmwiktionary.graphml"
0.581180424280613,"leiden","edit-rmwiktionary.graphml"
0.566477630749843,"walktrap","edit-rmwiktionary.graphml"
0.572542533081285,"infomap","edit-rmwiktionary.graphml"
0.581180424280613,"fast_greedy","edit-rmwiktionary.graphml"
0.639230898971159,"louvain","edit-rnwiktionary.graphml"
0.643363130376118,"leiden","edit-rnwiktionary.graphml"
0.5947039973014,"walktrap","edit-rnwiktionary.graphml"
0.625906560971496,"infomap","edit-rnwiktionary.graphml"
0.63543599257885,"fast_greedy","edit-rnwiktionary.graphml"
0.675169761432606,"louvain","edit-scwiktionary.graphml"
0.682110450093143,"leiden","edit-scwiktionary.graphml"
0.646776035094045,"walktrap","edit-scwiktionary.graphml"
0.666576527852893,"infomap","edit-scwiktionary.graphml"
0.681389339582958,"fast_greedy","edit-scwiktionary.graphml"
0.665103969754253,"louvain","edit-sewikibooks.graphml"
0.665595463137996,"leiden","edit-sewikibooks.graphml"
0.630018903591682,"walktrap","edit-sewikibooks.graphml"
0.654480151228733,"infomap","edit-sewikibooks.graphml"
0.665595463137996,"fast_greedy","edit-sewikibooks.graphml"
0.686666848218298,"louvain","edit-snwiktionary.graphml"
0.687647227025776,"leiden","edit-snwiktionary.graphml"
0.668972372380551,"walktrap","edit-snwiktionary.graphml"
0.663770918151986,"infomap","edit-snwiktionary.graphml"
0.686666848218297,"fast_greedy","edit-snwiktionary.graphml"
0.724436724950999,"louvain","edit-swwikibooks.graphml"
0.725610821091036,"leiden","edit-swwikibooks.graphml"
0.70679617302878,"walktrap","edit-swwikibooks.graphml"
0.701187680723476,"infomap","edit-swwikibooks.graphml"
0.723136486250458,"fast_greedy","edit-swwikibooks.graphml"
0.701341258954428,"louvain","edit-tkwikiquote.graphml"
0.703932327389118,"leiden","edit-tkwikiquote.graphml"
0.632982777015699,"walktrap","edit-tkwikiquote.graphml"
0.692882182594117,"infomap","edit-tkwikiquote.graphml"
0.707133058984911,"fast_greedy","edit-tkwikiquote.graphml"
0.672701768727705,"louvain","edit-towiktionary.graphml"
0.672701768727705,"leiden","edit-towiktionary.graphml"
0.65800572235434,"walktrap","edit-towiktionary.graphml"
0.660012262187872,"infomap","edit-towiktionary.graphml"
0.672701768727706,"fast_greedy","edit-towiktionary.graphml"
0.641799823546711,"louvain","edit-ttwikiquote.graphml"
0.644887756102343,"leiden","edit-ttwikiquote.graphml"
0.584697578668758,"walktrap","edit-ttwikiquote.graphml"
0.637290461719439,"infomap","edit-ttwikiquote.graphml"
0.644887756102343,"fast_greedy","edit-ttwikiquote.graphml"
0.687537904243636,"louvain","edit-twwiktionary.graphml"
0.687537904243636,"leiden","edit-twwiktionary.graphml"
0.676867347440542,"walktrap","edit-twwiktionary.graphml"
0.670524021046075,"infomap","edit-twwiktionary.graphml"
0.68742316707371,"fast_greedy","edit-twwiktionary.graphml"
0.637088846880907,"louvain","edit-ugwikibooks.graphml"
0.647788279773157,"leiden","edit-ugwikibooks.graphml"
0.597051039697543,"walktrap","edit-ugwikibooks.graphml"
0.619357277882798,"infomap","edit-ugwikibooks.graphml"
0.648052930056711,"fast_greedy","edit-ugwikibooks.graphml"
0.684921875,"louvain","edit-ugwikiquote.graphml"
0.688671875,"leiden","edit-ugwikiquote.graphml"
0.639375,"walktrap","edit-ugwikiquote.graphml"
0.68421875,"infomap","edit-ugwikiquote.graphml"
0.687890625,"fast_greedy","edit-ugwikiquote.graphml"
0.576183431952663,"louvain","edit-vowikiquote.graphml"
0.57706176035503,"leiden","edit-vowikiquote.graphml"
0.541420118343195,"walktrap","edit-vowikiquote.graphml"
0.569341715976332,"infomap","edit-vowikiquote.graphml"
0.564349112426036,"fast_greedy","edit-vowikiquote.graphml"
0.73381639938196,"louvain","edit-wawikibooks.graphml"
0.732271298417604,"leiden","edit-wawikibooks.graphml"
0.708268954126485,"walktrap","edit-wawikibooks.graphml"
0.709281261654856,"infomap","edit-wawikibooks.graphml"
0.73416271511535,"fast_greedy","edit-wawikibooks.graphml"
0.731301242392234,"louvain","edit-xhwikibooks.graphml"
0.740329963281525,"leiden","edit-xhwikibooks.graphml"
0.720361148835572,"walktrap","edit-xhwikibooks.graphml"
0.732231779085559,"infomap","edit-xhwikibooks.graphml"
0.741738343141693,"fast_greedy","edit-xhwikibooks.graphml"
0.747242311344875,"louvain","edit-xhwiktionary.graphml"
0.749214697932647,"leiden","edit-xhwiktionary.graphml"
0.709328658046607,"walktrap","edit-xhwiktionary.graphml"
